;<-5;<0;<3;<6;<9;<12;<15;<18;<21;<24;<27;>27
0;1.616940065;1.75444236;1.840377638;1.938297421;2.136293013;2.617079123;3.556753796;4.507069599;5.125859964;5.45926501;5.82586371;5.819030366
1;1.615591655;1.762096705;1.842957787;1.935559901;2.135158007;2.607661045;3.533439729;4.510256389;5.121410144;5.440170664;5.779703348;5.890424431
2;1.614553361;1.760867768;1.836432911;1.940307108;2.144074427;2.603796753;3.522452697;4.520075148;5.118778022;5.433512336;5.772470565;5.938336784
3;1.607054379;1.748275032;1.823558828;1.945848094;2.160403356;2.611356786;3.506773925;4.506466693;5.111405473;5.434434188;5.798811615;5.984242006
4;1.615293483;1.750256643;1.850318663;1.956944636;2.195746325;2.644323524;3.507683029;4.505309491;5.122795219;5.468811585;5.795327499;6.010354842
5;1.63223222;1.75982035;1.873217946;1.974361501;2.255125337;2.716949797;3.571189182;4.573666568;5.165732525;5.50209843;5.808506389;6.208802047
6;1.657007928;1.797086353;1.928414058;2.025360657;2.361298764;2.839498357;3.678540804;4.695679149;5.268941752;5.593350539;5.779049292;6.23705429
7;1.694878873;1.857264708;2.004933653;2.145376121;2.496114673;3.031617591;3.873987951;4.857547351;5.403958536;5.695337541;5.852242926;5.766235335
8;1.703363947;1.912839674;2.026622592;2.229435882;2.60611907;3.228297367;4.062898263;5.015795376;5.533851049;5.824875393;5.885478491;5.611088107
9;1.75235839;1.974669312;2.121840559;2.338065844;2.764866667;3.385258032;4.202850673;5.128796543;5.594084473;5.875682942;5.782431457;5.370068438
10;1.775146432;2.005346539;2.162206694;2.389390256;2.818939276;3.480698448;4.315040114;5.13831241;5.61031793;5.863004419;5.62874187;5.011263515
11;1.740144839;2.012273551;2.141671111;2.4004082;2.837866224;3.506634549;4.340812529;5.078557872;5.557583344;5.795395771;5.472929084;4.882953761
12;1.745778698;1.996155754;2.128087814;2.386619763;2.820409329;3.499656247;4.342379658;5.044414594;5.515474078;5.750175888;5.369914988;4.838466184
13;1.722022261;1.915890665;2.095014325;2.345115405;2.768229665;3.483106386;4.341585289;5.038176575;5.509797515;5.710228079;5.340325094;4.79699793
14;1.696921484;1.868815059;2.057820179;2.302494185;2.715885538;3.445946807;4.374474436;5.049777487;5.51172953;5.668625872;5.255313539;4.745097193
15;1.67910628;1.861328574;2.009948606;2.282421977;2.677006668;3.413727121;4.41176271;5.076843773;5.550372647;5.708095645;5.232445051;4.755408903
16;1.664309603;1.848378264;1.954668319;2.271550635;2.652292367;3.357051872;4.400410484;5.109768094;5.601911123;5.739959311;5.297251501;4.944478951
17;1.660836386;1.832725515;1.947542976;2.211944508;2.60062826;3.277654498;4.316327999;5.065438699;5.636422374;5.815305575;5.424380973;5.243501265
18;1.651274088;1.812206443;1.923846383;2.147818419;2.5079981;3.136057582;4.156546886;5.033411247;5.630419055;5.907194617;5.617475479;5.458226938
19;1.653640884;1.812073341;1.902940115;2.068096388;2.396111334;2.950749264;3.964909708;4.949382168;5.617571231;5.981881901;5.854445072;5.789852197
20;1.62335386;1.764683618;1.863223592;2.025346088;2.313972539;2.813348139;3.81055084;4.857265273;5.550512317;5.942195552;6.052078759;5.98992121
21;1.616441932;1.771547547;1.843112021;1.984019758;2.255577818;2.68904815;3.646365022;4.731145179;5.390967381;5.826503911;6.07650161;6.066597654
22;1.622293447;1.74858631;1.827815421;1.948054086;2.196973719;2.608780886;3.533484443;4.612610092;5.240883579;5.743952966;6.002677918;6.14549977
23;1.616917503;1.743039381;1.813644206;1.935193492;2.152371584;2.575720804;3.471865079;4.555212681;5.17253196;5.685594232;5.942208315;6.250005751
